"niveau","code","intitulé"
"*",,"FRANÇAIS"
"**",,"Langage oral (CM2)"
"***",,"Échanger, débattre"
"****","LO12","Participer aux échanges de manière constructive : rester dans le sujet, situer son propos par rapport aux autres, apporter des arguments, mobiliser des connaissances, respecter les règles habituelles de la communication."
"***",,"Réciter"
"****","LO13","Dire sans erreur et de manière expressive des textes en prose ou des poèmes (une dizaine)."
"**",,"Lecture (CM2)"
"***","LE20","Lire sans aide une leçon dans un manuel après un travail en classe sur le sujet."
"***","LE21","Lire à haute voix avec fluidité et de manière expressive un texte de plus de dix lignes, après préparation."
"***","LE22","S’appuyer sur les mots de liaison et les expressions qui marquent les relations logiques pour comprendre avec précision l’enchaînement d’une action ou d’un raisonnement."
"***","LE23","Repérer les effets de choix formels (emplois de certains mots, utilisation d’un niveau de langue bien caractérisé, etc.)."
"***","LE24","Effectuer, seul, des recherches dans des ouvrages documentaires (livres, produits multimédia)."
"***","LE25","Se repérer dans une bibliothèque, une médiathèque."
"**",,"Littérature (CM2)"
"***","LI09a","Lire au moins cinq ouvrages dans l’année scolaire et en rendre compte."
"***","LI09b","Choisir un extrait caractéristique et le lire à haute voix."
"***","LI10","Expliciter des choix de lecture, des préférences."
"***","LI11a","Raconter de mémoire une œuvre lue."
"***","LI11b","Citer de mémoire un court extrait caractéristique."
"***","LI12","Rapprocher des œuvres littéraires, à l’oral et à l’écrit."
"**",,"Écriture (CM2)"
"***","EC04","Copier sans erreur un texte d’au moins quinze lignes en lui donnant une présentation adaptée."
"**",,"Rédaction (CM2)"
"***","RD10","Dans les diverses activités scolaires, prendre des notes utiles au travail scolaire."
"***","RD11","Maîtriser la cohérence des temps dans un récit d’une dizaine de lignes."
"***",,"Rédiger différents types de textes d’au moins deux paragraphes en veillant à : "
"****","RD12a","- leur cohérence, "
"****","RD12b","- en évitant les répétitions,"
"****","RD12c","- en respectant les contraintes syntaxiques et orthographiques ainsi que la ponctuation."
"***","RD13","Écrire un texte de type poétique en obéissant à une ou plusieurs consignes précises."
"**",,"Vocabulaire (CM2)"
"***",,"Acquisition du vocabulaire"
"****","VO21","Commencer à utiliser des termes renvoyant à des notions abstraites (émotions, sentiments, devoirs, droits)."
"****","VO22","Comprendre des sigles."
"***",,"Maîtrise du sens des mots"
"****","VO23","Distinguer les différents sens d’un verbe selon sa construction (ex. jouer, jouer quelque chose, jouer à, jouer de, jouer sur)."
"****","VO24","Identifier l’utilisation d’un mot ou d’une expression au sens figuré."
"****","VO25","Classer des mots de sens voisin en repérant les variations d’intensité (ex. bon, délicieux, succulent)."
"****","VO26","Définir un mot connu en utilisant un terme générique adéquat et en y ajoutant les précisions spécifiques à l’objet défini."
"***",,"Les familles de mots"
"****","VO27","Regrouper des mots selon leur radical."
"****","VO28","Regrouper des mots selon le sens de leur préfixe et connaître ce sens, en particulier celui des principaux préfixes exprimant des idées de lieu ou de mouvement."
"****","VO29","Regrouper des mots selon le sens de leur suffixe et connaître ce sens."
"****","VO30","Pour un mot donné, fournir un ou plusieurs mots de la même famille en vérifiant qu’il(s) existe(nt)."
"***",,"Utilisation du dictionnaire"
"****","VO31","Utiliser avec aisance un dictionnaire."
"**",,"Grammaire (CM2)"
"***",,"La phrase"
"****","GR27","Construire correctement des phrases exclamatives."
"****","GR28","Comprendre la distinction entre phrase simple et phrase complexe."
"****","GR29","Reconnaître des propositions indépendantes coordonnées, juxtaposées."
"****","GR30","Reconnaître la proposition relative (seulement la relative complément de nom)."
"***",,"Les classes de mots"
"****",,"Distinguer selon leur nature :"
"*****","GR31a","- les mots des classes déjà connues, "
"*****","GR31b","- les pronoms possessifs, démonstratifs, interrogatifs et relatifs,"
"*****","GR31c","- les mots de liaison (conjonctions de coordination, adverbes ou locutions adverbiales exprimant le temps, le lieu, la cause et la conséquence),"
"*****","GR31d","- les prépositions (lieu, temps)."
"****","GR32a","Connaître la distinction entre article défini et article indéfini et en comprendre le sens."
"****","GR32b","Reconnaître la forme élidée et les formes contractées de l’article défini."
"****","GR33","Reconnaître et utiliser les degrés de l’adjectif et de l’adverbe (comparatif, superlatif)."
"***",,"Les fonctions"
"****","GR34","Comprendre la distinction entre compléments essentiels (complément d’objet), et compléments circonstanciels (manipulations)."
"****","GR35","Comprendre la notion de groupe nominal : l’adjectif qualificatif épithète, le complément de nom et la proposition relative comme enrichissements du nom."
"***",,"Le verbe"
"****","GR36","Comprendre la notion d’antériorité relative d’un fait passé par rapport à un autre, d’un fait futur par rapport à un autre."
"****","GR37","Conjuguer les verbes déjà étudiés : "
"*****","GR37a","- aux temps et modes déjà étudiés, "
"*****","GR37b","- à l’indicatif futur antérieur,"
"*****","GR37c","- plus-que-parfait,"
"*****","GR37d","- conditionnel présent,"
"*****","GR37e","- au participe présent et passé."
"*****","GR37f","Conjuguer des verbes non étudiés en appliquant les règles apprises."
"***",,"Les accords"
"****","GR38","Connaître la règle de l’accord du participe passé dans les verbes construits avec être et avoir (cas du complément d’objet direct posé après le verbe)."
"**",,"Orthographe (CM2)"
"***","OR27","Écrire sans erreur sous la dictée un texte d’au moins dix lignes en mobilisant les connaissances acquises."
"***",,"Orthographe grammaticale"
"****","OR28","Orthographier correctement les verbes étudiés aux temps étudiés, dont les verbes du premier groupe en -yer, - eter, - eler."
"****","OR29","Appliquer la règle de l’accord du verbe avec son sujet, y compris avec le sujet qui de 3ème personne."
"****","OR30","Écrire sans erreur les homophones grammaticaux déjà étudiés, ainsi que on/on n’, d’on/dont/donc, quel(s)/quelle(s)/qu’elle(s), sans/s’en ; la distinction entre leur et leurs est en cours d’acquisition en fin de cycle."
"****","OR31","Distinguer par le sens les formes verbales homophones de l’imparfait et du passé composé."
"***",,"Orthographe lexicale"
"****","OR32","Écrire correctement (doublement de la consonne) le début des mots commençant par ap-, ac-, af-, ef- et of-."
"****","OR33","Écrire correctement la syllabe finale des noms terminés par -ée ; par -té ou -tié ; par un e muet."
"****","OR34","Respecter la convention de la coupe syllabique à la ligne."
"*",,"MATHÉMATIQUES"
"**",,"Nombres et calcul (CM2)"
"***",,"Les nombres entiers"
"****",,"Fractions"
"*****","NC28","Encadrer une fraction simple par deux entiers consécutifs."
"*****","NC29","Écrire une fraction sous forme de somme d’un entier et d’une fraction inférieure à 1."
"*****","NC30","Ajouter deux fractions décimales ou deux fractions simples de même dénominateur."
"***",,"Nombres décimaux"
"****","NC31","Connaître la valeur de chacun des chiffres de la partie décimale en fonction de sa position (jusqu’au 1/10 000ème)."
"****",,"Savoir :"
"*****","NC32a","- les repérer, les placer sur une droite graduée en conséquence, "
"*****","NC32b","- les comparer, les ranger,"
"*****","NC32c","- produire des décompositions liées à une écriture à virgule, en utilisant 10 ; 100 ; 1 000... et 0,1 ; 0,01 ; 0,001..."
"****","NC33","Donner une valeur approchée à l’unité près, au dixième ou au centième près."
"***",,"Calcul sur des nombres entiers - Calculer mentalement"
"****","NC34","Consolider les connaissances et capacités en calcul mental sur les nombres entiers et décimaux."
"****","NC35","Diviser un nombre entier ou décimal par 10, 100, 1 000."
"***",,"Calcul sur des nombres entiers - Effectuer un calcul posé"
"****","NC36","Addition, soustraction, multiplication de deux nombres entiers ou décimaux."
"****","NC37","Division d’un nombre décimal par un nombre entier."
"****","NC38","Utiliser sa calculatrice à bon escient."
"***",,"Calcul sur des nombres entiers - Problèmes"
"****","NC39","Résoudre des problèmes de plus en plus complexes."
"**",,"- Géométrie (CM2)"
"***",,"Dans le plan"
"****","GE19","Utiliser les instruments pour vérifier le parallélisme de deux droites (règle et équerre) et pour tracer des droites parallèles."
"****","GE20","Vérifier la nature d’une figure en ayant recours aux instruments."
"****","GE21","Construire une hauteur d’un triangle."
"****","GE22","Reproduire un triangle à l’aide d’instruments."
"***",,"Dans l’espace"
"****","GE23","Reconnaître, décrire et nommer les solides droits : cube, pavé, cylindre, prisme."
"****","GE24","Reconnaître ou compléter un patron de solide droit."
"***",,"Problèmes de reproduction, de construction"
"****","GE25","Tracer une figure (sur papier uni, quadrillé ou pointé), à partir d’un programme de construction ou d’un dessin à main levée (avec des indications relatives aux propriétés et aux dimensions)."
"**",,"Grandeurs et mesure (CM2)"
"***","GM15","Calculer une durée à partir de la donnée de l’instant initial et de l’instant final."
"***","GM16","Formule de la longueur d’un cercle."
"***","GM17","Formule du volume du pavé droit (initiation à l’utilisation d’unités métriques de volume)."
"***",,"Aires"
"****","GM18","Calculer l’aire d’un carré, d’un rectangle, d’un triangle en utilisant la formule appropriée."
"****","GM19","Connaître et utiliser les unités d’aire usuelles (cm2, m2 et km2)."
"***",,"Angles"
"****","GM20","Reproduire un angle donné en utilisant un gabarit."
"***",,"Problèmes"
"****","GM21","Résoudre des problèmes dont la résolution implique des conversions."
"****","GM22","Résoudre des problèmes dont la résolution implique simultanément des unités différentes de mesure."
"**",,"Organisation et gestion de données (CM2)"
"***",,"Résoudre des problèmes relevant de la proportionnalité, en utilisant des procédures variées (dont la “règle de trois”), et notamment des problèmes relatifs : "
"****","OG08a","- aux pourcentages,  "
"****","OG08b","- aux échelles,"
"****","OG08c","- aux vitesses moyennes"
"****","OG08d","- aux conversions d’unité,"
"*",,"ÉDUCATION PHYSIQUE ET SPORTIVE"
"**",,"Réaliser une performance mesurée (en distance, en temps)"
"***",,"Activités athlétiques : "
"****","EP01a","- courir vite, "
"****","EP01b","- courir longtemps,"
"****","EP01c","- courir en franchissant des obstacles,"
"****","EP01d","- courir en relais,"
"****","EP01e","- sauter loin,"
"****","EP01f","- sauter haut,"
"****","EP01g","- lancer loin."
"***","EP02","Natation : se déplacer sur une trentaine de mètres."
"**",,"Adapter ses déplacements à différents types d’environnement"
"***","EP03","Activités d’escalade : grimper et redescendre sur un trajet annoncé (mur équipé)."
"***",,"Activités aquatiques et nautiques :"
"****","EP04a","- plonger, "
"****","EP04b","- s’immerger,"
"****","EP04c","- se déplacer."
"***",,"Activités de roule et glisse : réaliser un parcours d’actions diverses :"
"****","EP05a","- en roller, "
"****","EP05b","- en vélo,"
"****","EP05c","- en ski."
"***","EP06","Activités d’orientation : retrouver plusieurs balises dans un espace semi-naturel en s’aidant d’une carte."
"**",,"Coopérer et s’opposer individuellement et collectivement"
"***","EP07","Jeux de lutte : amener son adversaire au sol pour l’immobiliser."
"***","EP08","Jeux de raquettes : marquer des points dans un match à deux."
"***",,"Jeux sportifs collectifs (type handball, basket-ball, football, rugby, volley-ball...) : "
"****","EP09a","- coopérer avec ses partenaires pour affronter collectivement des adversaires, "
"****","EP09b","- respecter des règles,"
"****","EP09c","- assurer des rôles différents (attaquant, défenseur, arbitre)."
"**",,"Concevoir et réaliser des actions à visées expressive, artistique, esthétique "
"***",,"Danse : construire à plusieurs une phrase dansée (chorégraphie de 5 éléments au moins) pour exprimer corporellement :"
"****","EP10a","- des personnages, "
"****","EP10b","- des images,"
"****","EP10c","- des sentiments"
"****","EP10d","Construire à plusieurs une phrase dansée pour communiquer des émotions, sur des supports sonores divers."
"***","EP11","Activités gymniques : construire et réaliser un enchaînement de 4 ou 5 éléments “acrobatiques” sur divers engins (barres, moutons, poutres, tapis)."
"*",,"LANGUE VIVANTE"
"**","LV01","Avoir acquis les compétences nécessaires à la communication élémentaire définie par le niveau A1 du Cadre européen commun de référence pour les langues."
"**",,"Utiliser les composantes sonores de la langue :"
