"niveau","code","intitulé"
"*",,"S'APPROPRIER LE LANGAGE (GS)"
"**",,"Échanger, s’exprimer"
"***","SL26","Dire, décrire, expliquer après avoir terminé une activité ou un jeu (hors contexte de réalisation)."
"***","SL27","Justifier un acte, un refus, une préférence en utilisant à bon escient “parce que”."
"***","SL28a","Relater un événement inconnu des autres."
"***","SL28b","Exposer un projet."
"***","SL28c","Inventer une histoire (à partir de quelques images éventuellement)."
"***","SL29","Produire un oral compréhensible par autrui."
"***","SL30","Participer à une conversation en restant dans le sujet de l’échange."
"***","SL31","Dire comptines, poèmes ou autres textes en adoptant un ton approprié."
"***","SL32","Chanter une dizaine de chansons apprises en classe"
"**",,"Comprendre"
"***","SL33","Comprendre des consignes données de manière collective."
"***","SL34a","Comprendre une histoire lue par l’enseignant."
"***","SL34b","La raconter en restituant les enchaînements logiques et chronologiques."
"***","SL34c","L’interpréter ou la transposer (marionnettes, jeu dramatique, dessin)."
"***","SL35a","Comprendre un texte documentaire lu par l’enseignant."
"***","SL35b","Faire des liens avec les questions qui se posaient ou/et avec ce qui a été découvert en classe."
"***","SL36a","Apprécier une poésie, y repérer des mots évocateurs (ou amusants)."
"***","SL36b","Faire part de ses impressions et les exprimer par un dessin ou une peinture libre."
"**",,"Progresser vers la maîtrise de la langue française"
"***","SL37","Produire des phrases complexes, correctement construites."
"***","SL38","Comprendre et utiliser à bon escient les temps des verbes pour exprimer le passé et le futur (le choix du temps étant plus important que la forme exacte du verbe conjugué)."
"***",,"Comprendre, acquérir et utiliser un vocabulaire pertinent (noms, verbes, adjectifs, adverbes, comparatifs), concernant :"
"****","SL39a","- les actes du quotidien et les relations avec les autres,"
"****","SL39b","- les activités et savoirs scolaires et en particulier l’univers de l’écrit,"
"****","SL39c","- les récits personnels et le rappel des histoires entendues (caractérisation des personnages, relations entre eux, enchaînement logique et chronologique, relations spatiales),"
"****","SL39d","- l’expression des sentiments ou émotions ressentis personnellement, ou prêtés aux autres et aux personnages d’histoires connues."
"***",,"S’intéresser au sens des mots :"
"****","SL40a","- repérer un mot jamais entendu,"
"****","SL40b","- essayer de comprendre un mot nouveau en contexte,"
"****","SL40c","- interroger l’enseignant sur le sens d’un mot."
"*",,"DÉCOUVRIR L'ÉCRIT"
"**",,"Se familiariser avec l'écrit (GS)"
"***",,"Supports du texte écrit"
"****","FE18a","Reconnaître les types d’écrit rencontrés dans la vie quotidienne (livres, affiches, journaux, revues, enseignes, plaques de rue, affichages électroniques, formulaires...)."
"****","FE18b","Avoir une première idée de leur fonction."
"****","FE19a","Se repérer dans un livre (couverture, page, images, texte)."
"****","FE19b","S’orienter dans l’espace de la page."
"***",,"Écoute et compréhension de la langue écrite"
