"niveau","code","intitulé"
"*",,"S'APPROPRIER LE LANGAGE (PS)"
"**",,"Échanger, s’exprimer"
"***","SL01","Entrer en relation avec autrui par la médiation du langage."
"***","SL02","Utiliser le pronom “je” pour parler de soi."
"***","SL03","Répondre aux sollicitations de l’adulte en se faisant comprendre."
"***","SL04","S’exprimer, dire des comptines très simples, chanter devant les autres."
"***","SL05","Commencer à prendre sa place dans les échanges collectifs."
"***","SL06","Se faire comprendre par le langage pour les besoins de la vie scolaire."
"**",,"Comprendre"
"***","SL07","Comprendre une consigne simple dans une situation non ambiguë."
"***","SL08","Écouter en silence un conte ou un poème courts."
"***","SL09a","Comprendre une histoire courte et simple racontée par l’enseignant : répondre à quelques questions très simples sur le texte écouté."
"***","SL09b","Guidé par le maître ou par des images, reformuler quelques éléments de l’histoire écoutée."
"***","SL10","Observer un livre d’images, ou très illustré, et traduire en mots ses observations."
"**",,"Progresser vers la maîtrise de la langue française"
"***","SL11","Se saisir d’un nouvel outil linguistique (lexical ou syntaxique) que l’enseignant lui fournit quand il lui manque, en situation, pour exprimer ce qu’il a à dire"
"***","SL12","Produire des phrases correctes, même très courtes."
"***",,"Comprendre, acquérir et utiliser un vocabulaire pertinent (noms et verbes en particulier ; quelques adjectifs en relation avec les couleurs, les formes et grandeurs) concernant :"
"****","SL13a","- les actes du quotidien (hygiène, habillage, collation, repas, repos),"
"****","SL13b","- les activités de la classe (locaux, matériel, matériaux, actions, productions),"
"****","SL13c","- ses relations avec les autres : salutations (bonjour, au revoir), courtoisie (s’il vous plaît, merci)."
"*",,"DÉCOUVRIR L'ÉCRIT"
"**",,"Se familiariser avec l'écrit (PS)"
"***",,"Supports du texte écrit"
"****","FE01a","Reconnaître des supports d’écrits utilisés couramment en classe."
"****","FE01b","Distinguer le livre des autres supports."
"****","FE02","Utiliser un livre correctement du point de vue matériel."
"***",,"Initiation orale à la langue écrite"
"****","FE03","Écouter des histoires racontées ou lues par le maître."
"***",,"Identification de formes écrites"
"****","FE04","Reconnaître son prénom écrit en majuscules d’imprimerie."
"****","FE05","Distinguer les lettres des autres formes graphiques (chiffres ou dessins variés)."
"**",,"Se préparer à apprendre à lire et à écrire (PS)"
"***",,"Distinguer les sons de la parole"
"****","AL01","Jouer avec les formes sonores de la langue :- écouter et pratiquer de petites comptines très simples qui favori-seront l’acquisition de la conscience des sons (voyelles en rimes essentiellement),"
"****","AL02","- redire sur le modèle de l’enseignant et répéter des formulettes, des mots de trois ou quatre syllabes en articulant et prononçant correctement."
"***",,"Pour s’acheminer vers le geste de l’écriture : le contrôle des gestes"
"****","AL03","Imiter des gestes amples dans différentes directions."
"+",,"DEVENIR ÉLÈVE"
"++",,"Vivre ensemble : apprendre les règles de civilité et les principes d’un comportement conforme à la morale"
"+++","DE01","Participer progressivement à l’accueil des camarades."
"+++","DE02","Apprendre"
"++++","DE02a","- à dialoguer entre eux,"
"++++","DE02b","- à dialoguer avec des adultes,"
"++++","DE02c","- à prendre leur place dans les échanges."
"+++","DE03","Mettre en œuvre les règles communes de civilité et de politesse :"
"++++","DE03a","- saluer son maître au début et à la fin de la journée,"
"++++","DE03b","- répondre aux questions posées,"
"++++","DE03c","- remercier la personne qui apporte une aide,"
