"niveau","code","intitulé"
"*",,"S'APPROPRIER LE LANGAGE (MS)"
"**",,"Échanger, s’exprimer"
"***","SL14","S’exprimer dans un langage mieux structuré, en articulant correctement (les syllabes complexes avec enchaînement de consonnes peuvent être encore difficiles à prononcer)."
"***","SL15","Dire ou chanter une dizaine de comptines, chansons et poèmes, avec une bonne prononciation."
"***","SL16","Décrire, questionner, expliquer en situation de jeu, dans les activités des divers domaines."
"***","SL17","Participer à un échange collectif en écoutant autrui et en attendant son tour de parole."
"***","SL18a","Relater un événement inconnu des autres."
"***","SL18b","Inventer une histoire sur une suite d’images."
"***","SL18c","Faire des hypothèses sur le contenu d’un livre au vu de sa couverture et de ses illustrations."
"***","SL18d","Dans tous les cas, ajuster son propos pour se faire comprendre en fonction de questions ou de remarques."
"**",,"Comprendre"
"***","SL19","Comprendre les consignes des activités scolaires, au moins en situation de face à face avec l’adulte."
"***","SL20","Écouter en silence un récit facile, mais plus étoffé que l’année précédente."
"***","SL21a","Comprendre une histoire racontée ou lue par l’enseignant."
"***","SL21b","La raconter, au moins comme une succession logique et chronologique de scènes associées à des images."
"**",,"Progresser vers la maîtrise de la langue française"
"***","SL22a","Connaître quelques termes génériques (animaux, fleurs, vêtements, etc.)."
"***","SL22b","Dans une série d’objets (réels ou sous forme imagée), identifier et nommer ceux qui font partie de la classe d’un générique donné."
"***","SL23","Produire des phrases de plus en plus longues, correctement construites."
"***","SL24","Utiliser avec justesse le genre des noms, les pronoms usuels, les prépositions les plus fréquentes."
"***",,"Comprendre, acquérir et utiliser un vocabulaire pertinent (noms, verbes, adjectifs, adverbes, comparatifs) concernant :"
"****","SL25a","- les actes du quotidien, les activités scolaires, les relations avec les autres (salutations, courtoisie, excuses),"
"****","SL25b","- les récits personnels, le rappel des histoires entendues (caractérisation des personnages, localisation, enchaînement logique et chronologique)"
"*",,"DÉCOUVRIR L'ÉCRIT"
"**",,"Se familiariser avec l'écrit"
"***",,"Supports du texte écrit"
"****","FE06","Reconnaître des supports d’écrits utilisés couramment en classe plus nombreux que durant l’année précédente."
"****","FE07","Dans des situations simples (univers du vécu ou sujets déjà abordés), faire des hypothèses sur le contenu d’un texte au vu de la page de couverture du livre, d’images l’accompagnant."
"****","FE08","Établir des liens entre des livres (imagiers / livres comportant texte et images ; livres racontant une histoire / n’en racontant pas)."
"***",,"Initiation orale à la langue écrite"
"****","FE09","Écouter des textes dits ou lus par l’enseignant qui accoutume l’enfant à comprendre un vocabulaire et une syntaxe moins familiers que ceux des textes entendus jusque-là."
"****","FE10a","Dans une histoire, identifier le personnage principal (c’est l’histoire de...)."
"****","FE10b","Le reconnaître dans la suite des illustrations."
"****","FE11a","Rappeler le début d’une histoire lue par épisodes par l’adulte."
"****","FE11b","Essayer d’anticiper sur la suite."
"****","FE12","Comparer des histoires qui ont des points communs (même personnage principal, même univers)."
"****","FE13","Connaître quelques textes du patrimoine, principalement des contes."
"***",,"Contribuer à l’écriture d’un texte"
"****","FE14","Produire un énoncé oral dans une forme adaptée pour qu’il puisse être écrit (dictée à l’adulte)."
"***",,"Identification de formes écrites"
"****","FE15","Reconnaître son prénom écrit en écriture cursive."
"****","FE16","Repérer des similitudes entre mots à l’écrit (lettres, syllabes) parmi les plus familiers (jours de la semaine, prénoms par exemple)."
"****","FE17","Reconnaître des lettres de l’alphabet."
"**",,"Se préparer à apprendre à lire et à écrire"
"***",,"Distinguer les sons de la parole"
"****","AL04","Écouter et pratiquer en les prononçant correctement de petites comptines très simples qui favorisent l’acquisition de la conscience des sons (voyelles essentiellement et quelques consonnes sur lesquelles on peut aisément effectuer des jeux sonores)."
"****","AL05","Dans un énoncé oral simple, distinguer des mots (des noms d’objets, etc.), pour intégrer l’idée que le mot oral représente une unité de sens."
"****","AL06","Scander les syllabes de mots, de phrases ou de courts textes."
"****","AL07a","Repérer des syllabes identiques dans des mots, trouver des mots qui ont une syllabe finale donnée."
"****","AL07b","Trouver des mots qui riment."
"***",,"Pour s’acheminer vers le geste de l’écriture : les réalisations graphiques"
"****","AL08","Réaliser en grand les tracés de base de l’écriture : cercle, verticale, horizontale, enchaînement de boucles, d’ondulations, sur un plan vertical (tableau), puis horizontal (table)."
"****","AL09","Imiter des dessins stylisés exécutés au moyen de ces tracés."
"****","AL10","Écrire son prénom en majuscules d’imprimerie en respectant l’horizontalité et l’orientation de gauche à droite."
"+",,"DEVENIR ÉLÈVE"
"++",,"Vivre ensemble : apprendre les règles de civilité et les principes d’un comportement conforme à la morale"
"+++","DE01","Participer progressivement à l’accueil des camarades."
"+++","DE02","Apprendre"
"++++","DE02a","- à dialoguer entre eux,"
"++++","DE02b","- à dialoguer avec des adultes,"
"++++","DE02c","- à prendre leur place dans les échanges."
"+++","DE03","Mettre en œuvre les règles communes de civilité et de politesse :"
"++++","DE03a","- saluer son maître au début et à la fin de la journée,"
"++++","DE03b","- répondre aux questions posées,"
"++++","DE03c","- remercier la personne qui apporte une aide,"
"++++","DE03d","- ne pas couper la parole à celui qui s’exprime."
"+++","DE04","Respecter les fondements moraux des règles de comportement, respecter"
"++++","DE04a","- la personne et les biens d’autrui."
"++++","DE04b","- l’obligation de se conformer aux règles dictées par les adultes"
"++++","DE04c","- la parole donnée par l’enfant."
"++",,"Coopérer et devenir autonome"
"+++","DE05","Apprendre à coopérer en participant à :"
"++++","DE05a","- des jeux,"
"++++","DE05b","- des rondes,"
"++++","DE05c","- aux groupes formés pour dire des comptines,"
"++++","DE05d","- aux groupes formés pour écouter des histoires,"
"++++","DE05e","- à la réalisation de projets communs."
"+++","DE06","?"
"++++","DE06a","Prendre des responsabilités dans la classe."
"++++","DE06b","Faire preuve d'initiative."
"+++","DE07","S’engager dans un projet ou une activité, en faisant appel à ses propres ressources."
"++",,"Comprendre ce qu’est l’école"
"+++","DE08","Comprendre progressivement"
"++++","DE08a","- les règles de la communauté scolaire"
"++++","DE08b","- la spécificité de l’école"
"++++","DE08c","- ce qu’ils y font"
"++++","DE08d","- ce qui est attendu d’eux"
"++++","DE08e","- ce qu’on apprend à l’école"
"++++","DE08f","- pourquoi on l’apprend."
"+++","DE09","Faire la différence entre parents et enseignants."
"+++","DE10","???"
"++++","DE10a","Accepter le rythme collectif des activités."
"++++","DE10b","Savoir différer la satisfaction de ses intérêts particuliers."
"+++","DE11","Comprendre la valeur des consignes collectives."
"+++","DE12","Apprendre :"
"++++","DE12a","- à poser des questions"
"++++","DE12b","- à solliciter de l’aide pour réussir dans ce qui leur est demandé."
"+++","DE13","Établir une relation entre les activités matérielles qu’ils réalisent et ce qu’ils en apprennent (on fait cela pour apprendre, pour mieux savoir faire)."
"+++","DE14","Acquérir des repères objectifs pour évaluer leurs réalisations."
"+++","DE15","Savoir identifier, à la fin de la maternelle, des erreurs dans ses productions ou celles de ses camarades."
"+++","DE16","Apprendre à rester attentif de plus en plus longtemps."
"+++","DE17","Découvrir le lien entre certains apprentissages scolaires et des actes de la vie quotidienne."
