"niveau","code","intitulé"
"+",,"FRANÇAIS"
"++",,"Langage oral (CE2)"
"+++",,"Raconter, décrire, exposer"
"++++","LO01a","Faire un récit structuré et compréhensible pour un tiers ignorant des faits rapportés ou de l’histoire racontée."
"++++","LO01b","Inventer et modifier des histoires. "
"++++","LO01c","Décrire une image."
"++++","LO01d","Exprimer des sentiments en s’exprimant en phrases correctes et dans un vocabulaire approprié."
"+++",,"Échanger, débattre"
"++++","LO02","Écouter et prendre en compte ce qui a été dit."
"++++","LO03","Questionner afin de mieux comprendre."
"++++","LO04","Exprimer et justifier un accord ou un désaccord, émettre un point de vue personnel motivé."
"+++",,"Réciter"
"++++","LO05","Dire sans erreur et de manière expressive des textes en prose ou des poèmes (une dizaine)."
"++",,"Lecture (CE2)"
"+++","LE01","Lire les consignes de travail, les énoncés de problèmes dont le vocabulaire difficile ou nouveau a été élucidé par le maître."
"+++","LE02","Lire à haute voix avec fluidité et de manière expressive un extrait de texte, après préparation."
"+++","LE03","Lire silencieusement un texte littéraire ou documentaire et le comprendre (reformuler, répondre à des questions sur ce texte)."
"+++","LE04","Repérer dans un texte des informations explicites en s’appuyant en particulier sur le titre, l’organisation (phrases, paragraphes), le vocabulaire."
"+++","LE05","Reconnaître les marques de ponctuation."
"+++",,"Dans un récit, s’appuyer :"
"++++","LE06a","- sur le repérage des différents termes désignant un personnage,"
"++++","LE06b","- sur les temps des verbes et sur les mots de liaison exprimant les relations temporelles pour comprendre avec précision la chronologie des événements,"
"++++","LE06c","- sur les deux-points et guillemets pour repérer les paroles des personnages."
"+++","LE07","Lire un texte documentaire, descriptif ou narratif, et restituer à l’oral ou par écrit l’essentiel du texte (sujet du texte, objet de la description, trame de l’histoire, relations entre les personnages...)."
"+++","LE08","Adopter une stratégie pour parvenir à comprendre : repérer des mots inconnus et incompris, relire, questionner, recourir au dictionnaire, etc."
"+++","LE09","Se repérer dans une bibliothèque habituellement fréquentée pour choisir et emprunter un livre."
"++",,"Littérature (CE2)"
"+++","LI01","Lire une œuvre intégrale ou de larges extraits d’une œuvre longue."
"+++","LI02","Rendre compte des œuvres lues, donner son point de vue à leur propos."
"+++","LI03","Raconter de mémoire, ou en s’aidant de quelques images des histoires lues dans les années ou les mois antérieurs ; connaître leur titre."
"+++","LI04","Établir des relations entre des textes ou des œuvres : même auteur, même thème, même personnage, etc."
"++",,"Écriture (CE2)"
"+++","EC01","Copier sans erreur (formation des lettres, orthographe, ponctuation) un texte de cinq à dix lignes en soignant la présentation."
"+++","EC02","En particulier, copier avec soin, en respectant la mise en page, un texte en prose ou poème appris en récitation."
"++",,"Rédaction (CE2)"
"+++","RD01","Dans les diverses activités scolaires, proposer une réponse écrite, explicite et énoncée dans une forme correcte."
"+++",,"Rédiger un court texte narratif en veillant :"
"++++","RD02a","- à sa cohérence temporelle (temps des verbes),"
"++++","RD02b","- à sa précision (dans la nomination des personnages et par l’usage d’adjectifs qualificatifs),"
"++++","RD02c","- en évitant les répétitions par l’usage de synonymes, "
"++++","RD02d","- en respectant les contraintes syntaxiques et orthographiques ainsi que la ponctuation."
"+++","RD03","Rédiger un court dialogue (formulation des questions et des ordres)."
"+++","RD04","Savoir amplifier une phrase en ajoutant des mots : en coordonnant par et un nom à un autre, un adjectif à un autre, un verbe à un autre."
"+++","RD05","Améliorer (corriger et enrichir) un texte en fonction des remarques et aides du maître."
"++",,"Vocabulaire"
"+++",,"Acquisition du vocabulaire"
"++++","VO01","Utiliser à bon escient des termes appartenant aux lexiques des repères temporels, de la vie quotidienne et du travail scolaire."
"++++","VO02","Utiliser les termes exacts qui correspondent aux notions étudiées dans les divers domaines scolaires."
"++++","VO03","Savoir ce qu’est une abréviation (ex. “adj.” dans un article de dictionnaire)."
"+++",,"Maîtrise du sens des mots"
"++++","VO04","Dans un texte, relever les mots d’un même domaine (ex. le vocabulaire de la mer)."
"++++","VO05","Utiliser des synonymes et des mots de sens contraire dans les activités d’expression orale et écrite."
"++++","VO06a","Préciser, dans son contexte, le sens d’un mot connu."
"++++","VO06b","Le distinguer d’autres sens possibles."
"+++",,"Les familles de mots"
"++++","VO07","Construire ou compléter des familles de mots."
"+++",,"Utilisation du dictionnaire"
"++++","VO08a","Savoir épeler un mot."
"++++","VO08b","Connaître l’ordre alphabétique."
"++++","VO08c","Savoir classer des mots par ordre alphabétique."
"++++","VO09","Utiliser le dictionnaire pour rechercher le sens d’un mot."
"++",,"FRANÇAIS - Grammaire (CE2)"
"+++",,"La phrase"
"++++","GR01","Transformer une phrase simple affirmative en phrase négative ou interrogative, ou inversement."
"++++","GR02","Identifier le verbe conjugué dans une phrase simple et fournir son infinitif."
"+++",,"Les classes de mots"
"++++",,"Distinguer selon leur nature: "
"+++++","GR03a","- le verbe,"
"+++++","GR03b","- le nom (propre / commun),"
"+++++","GR03c"," - les articles, "
"+++++","GR03d","- les déterminants possessifs, "
"+++++","GR03e","- les pronoms personnels (formes sujet), "
"+++++","GR03f","- les adjectifs qualificatifs."
"++++",,"Approche de l’adverbe : "
"+++++","GR04a","- modifier le sens d’un verbe en lui ajoutant un adverbe, "
"+++++","GR04b","- relier des phrases simples par des mots de liaison temporelle (ex. les adverbes puis, alors...)."
"+++",,"Les fonctions"
"++++","GR05","Comprendre la différence entre la nature d’un mot et sa fonction."
"++++","GR06","Connaître la distinction entre compléments du verbe et compléments du nom."
"++++",,"Dans une phrase simple où l’ordre sujet-verbe est respecté :"
"+++++","GR07a","- identifier le verbe et le sujet (sous forme d’un nom propre, d’un groupe nominal ou d’un pronom personnel),"
"+++++","GR07b","- reconnaître le complément d’objet (direct et indirect) du verbe,"
"+++++","GR07c","- reconnaître le complément du nom."
"++++","GR08","Approche de la circonstance : savoir répondre oralement aux questions où ?, quand ?, comment ?, pourquoi ?"
"++++",,"Le groupe nominal :"
"+++++","GR09a","- comprendre la fonction de ses éléments : le nom (noyau du groupe nominal), le déterminant (article, déterminant possessif) qui le détermine, l’adjectif qualificatif qui le qualifie, le nom qui le complète,"
"+++++","GR09b","- manipuler l’adjectif et le complément de nom (ajout, suppression, substitution de l’un à l’autre...)"
"+++",,"Le verbe"
"++++","GR10","Comprendre les notions d’action passée, présente, future."
"++++","GR11","Connaître les personnes, les règles de formation et les terminaisons des temps simples étudiés (présent, futur, imparfait)."
"++++",,"Conjuguer les verbes des premier et deuxième groupes, ainsi qu’être, avoir, aller, dire, faire, pouvoir, partir, prendre, venir, voir, vouloir : "
"+++++","GR12a","- à l’indicatif présent, "
"+++++","GR12b","- à l’indicatif futur,"
"+++++","GR12c","- à l’indicatif imparfait."
"++++","GR13","Repérer dans un texte l’infinitif d’un verbe étudié."
"+++",,"Les accords"
"++++",,"Connaître les règles :"
"+++++","GR14a","- de l’accord du verbe avec son sujet ; "
"+++++","GR14b","- de l’accord entre déterminant et nom, nom et adjectif."
"++",,"Orthographe (CE2)"
"+++","OR01","Écrire sans erreur sous la dictée un texte d’au moins cinq lignes en mobilisant les connaissances acquises en vocabulaire, grammaire et orthographe."
"+++",,"Compétences grapho-phoniques"
"++++","OR02","Respecter les correspondances entre lettres et sons."
"++++","OR03","Respecter la valeur des lettres en fonction des voyelles placées à proximité (s/ss, c/ç, c/qu, g/gu/ge)."
"++++","OR04","Respecter la valeur des lettres en fonction de la consonne suivante (n devenant m devant m, b, p)."
"++++","OR05","Utiliser sans erreur les accents (é, è, ê)."
"+++",,"Orthographe grammaticale"
"++++","OR06","Écrire sans erreur les pluriels des noms se terminant par s, x, z ; par -al, par -ou."
"++++","OR07","Utiliser sans erreur les marques du pluriel et du féminin des adjectifs."
"++++","OR08","Écrire sans erreur les formes des verbes étudiés aux temps étudiés, sans confondre, en particulier, les terminaisons (-e, - es, - ent ; - ons et -ont ; - ez, - ais, - ait et -aient ; - ras, - ra)."
"++++","OR09","Appliquer la règle de l’accord du verbe avec le sujet (y compris pronom personnel) dans les phrases où l’ordre sujet-verbe est respecté, et où le verbe est à un temps simple."
"++++","OR10","Accorder sans erreur le déterminant et le nom, le nom et l’adjectif (épithète)."
"++++","OR11","Écrire sans erreur des homophones grammaticaux en liaison avec le programme de grammaire (a/à, ont/on, est/et, sont/son)"
"+++",,"Orthographe lexicale"
"++++","OR12","Écrire sans erreur des noms et des adjectifs se terminant par une consonne muette (ex. chant, cf. chanteur ; blond, cf. blonde...)."
"++++","OR13","Écrire sans erreur les mots mémorisés et régulièrement révisés, en particulier les mots invariables acquis aux CP et CE1, des mots fréquents, des mots référents pour des sons."
"++++","OR14","Connaître la notion d’homonyme et écrire sans erreur un nombre croissant d’homonymes jusqu’à la fin du cycle."
"+",,"MATHÉMATIQUES"
"++",,"Nombres et calcul (CE2)"
"+++",,"Les nombres entiers jusqu’au million"
"++++","NC01","Connaître, savoir écrire et nommer les nombres entiers jusqu’au million."
"++++","NC02","Comparer, ranger, encadrer ces nombres."
"++++","NC03","Connaître et utiliser des expressions telles que : double, moitié ou demi, triple, quart d’un nombre entier."
"++++","NC04","Connaître et utiliser certaines relations entre des nombres d’usage courant : entre 5, 10, 25, 50, 100, entre 15, 30 et 60."
"+++",,"Calcul sur des nombres entiers - Calculer mentalement"
"++++","NC05","Mémoriser et mobiliser les résultats des tables d’addition et de multiplication."
"++++","NC06","Calculer mentalement des sommes, des différences, des produits."
"+++",,"Calcul sur des nombres entiers - Effectuer un calcul posé"
"++++","NC07","Addition, soustraction et multiplication."
"++++","NC08","Connaître une technique opératoire de la division et la mettre en œuvre avec un diviseur à un chiffre."
"++++","NC09","Organiser ses calculs pour trouver un résultat par calcul mental, posé, où à l’aide de la calculatrice."
"++++","NC10","Utiliser les touches des opérations de la calculatrice."
