"niveau","code","intitulé"
"*",,"FRANÇAIS"
"**",,"Langage oral"
"***",,"S’exprimer de façon correcte :"
"****","LO01a","Prononcer les sons et les mots avec exactitude,"
"****","LO01b","Respecter l’organisation de la phrase."
"****","LO01c","Formuler correctement des questions."
"***",,"Rapporter clairement un événement ou une information très simple :"
"****","LO02a","- exprimer les relations de causalité, les circonstances temporelles et spatiales,"
"****","LO02b","- utiliser de manière adéquate les temps verbaux (présent, futur, imparfait, passé composé)."
"***",,"Manifester sa compréhension d’un récit ou d’un texte documentaire lu par un tiers en répondant à des questions le concernant :"
"****","LO03a","- reformuler le contenu d’un paragraphe ou d’un texte,"
"****","LO03b","- identifier les personnages principaux d’un récit."
"***","LO04","Raconter une histoire déjà entendue en s’appuyant sur des illustrations."
"***","LO05","Décrire des images (illustrations, photographies…)."
"***","LO06","Reformuler une consigne."
"***","LO07a","Prendre part à des échanges verbaux tout en sachant écouter les  autres."
"***","LO07b","Poser des questions."
"***",,"Réciter des comptines ou de courts poèmes (une dizaine) :"
"****","LO08a","- en ménageant des respirations."
"****","LO08b","- sans commettre d’erreur (sans oubli ou substitution)."
"**",,"Lecture"
"***","LE01","Connaître le nom des lettres et l’ordre alphabétique."
"***","LE02a","Distinguer entre la lettre et le son qu’elle transcrit."
"***","LE02b","Connaître les  correspondances entre les lettres et les sons dans les graphies simples (ex. f ; o) et complexes (ex. ph ; au, eau)."
"***","LE03a","Savoir qu'une syllabe est composée d'une ou plusieurs graphies."
"***","LE03b","Savoir qu'un mot est composé d'une ou plusieurs syllabes."
"***","LE03c","Être capable de repérer ces éléments (graphies, syllabes) dans un mot."
"***",,"Connaître les correspondances entre :"
"****","LE04a","- minuscules et majuscules d’imprimerie."
"****","LE04b","- minuscules et majuscules cursives."
"***","LE05","Lire aisément les mots étudiés."
"***","LE06","Déchiffrer des mots réguliers inconnus."
"***","LE07","Lire aisément les mots les plus fréquemment rencontrés (dits mots-outils)."
"***",,"Lire à haute voix un texte court dont les mots ont été étudiés :"
"****","LE08a","- en articulant correctement"
"****","LE08b","- en respectant la ponctuation."
"***",,"Connaître et utiliser le vocabulaire spécifique de la lecture d’un texte :"
"****","LE09a","- le livre, la couverture, la page, la ligne ;"
"****","LE09b","- l’auteur, le titre ;"
"****","LE09c","- le texte, la phrase, le mot ;"
"****","LE09d","- le début, la fin, le personnage, l’histoire."
"***","LE10a","Dire de qui ou de quoi parle le texte lu."
"***","LE10b","Trouver dans le texte ou son illustration la réponse à des questions concernant le texte lu."
"***","LE10c","Reformuler son sens."
"***","LE11","Ecouter lire des œuvres intégrales, notamment de littérature de jeunesse."
"**",,"Écriture"
"***",,"Copier un texte très court"
"****","EC01a","- dans une écriture cursive lisible,"
"****","EC01b","- sur des lignes,"
"****","EC01c","- non lettre à lettre mais mot par mot (en prenant appui sur les syllabes qui le composent),"
"****","EC01d","- en respectant les liaisons entre les lettres,"
"****","EC01e","- en respectant les accents,"
"****","EC01f","- en respectant les espaces entre les mots,"
"****","EC01g","- en respectant les signes de ponctuation,"
"****","EC01h","- en respectant les majuscules."
"***",,"Écrire sans erreur, sous la dictée :"
"****","EC02a","- des syllabes,"
"****","EC02b","- des mots,"
"****","EC02c","- de courtes phrases dont les graphies ont été étudiées."
"***","EC03","Choisir et écrire de manière autonome des mots simples en respectant les correspondances entre lettres et sons."
"***","EC04","Concevoir et écrire collectivement avec l’aide du maître une phrase simple cohérente, puis plusieurs."
"***","EC05","Comparer sa production écrite à un modèle et rectifier ses erreurs."
"***","EC06a","Produire un travail écrit soigné."
"***","EC06b","Maîtriser son attitude et son geste pour écrire avec aisance."
"***","EC06c","Prendre soin des outils du travail scolaire."
"**",,"Vocabulaire"
"***","VO01","Utiliser des mots précis pour s’exprimer."
"***","VO02","Commencer à classer les noms par catégories sémantiques larges (noms de personnes, noms d’animaux, noms de choses) ou plus étroites et se référant au monde concret (ex. : noms de fruits)."
"***","VO03","Trouver un ou des noms appartenant à une catégorie donnée (ex. un nom d’arbre, un nom de commerçant)."
"***","VO04","Trouver un mot de sens opposé pour un adjectif qualificatif ou un verbe d’action."
"***","VO05","Ranger des mots par ordre alphabétique."
"**",,"Grammaire"
"***",,"La phrase"
"****","GR01","Identifier les phrases d’un texte en s’appuyant sur la ponctuation (point et majuscule)."
"***",,"Les classes de mots"
"****","GR02","Reconnaître les noms et les verbes et les distinguer des autres mots."
"****","GR03a","Distinguer le nom et l’article qui le précède."
"****","GR03b","Identifier l’article."
"****","GR04","Approche du pronom : savoir utiliser oralement les pronoms personnels sujets."
"***",,"Les genres et nombres"
"****",,"Repérer et justifier des marques du genre et du nombre :"
"*****","GR05a","- le s du pluriel des noms,"
"*****","GR05b","- le e du féminin de l’adjectif,"
