"niveau","code","intitulé"
"*",,"FRANÇAIS"
"**",,"Langage oral (CE1)"
"***","LO09","Faire un récit structuré (relations causales, circonstances temporelles et spatiales précises) et compréhensible pour un tiers ignorant des faits  rapportés ou de l’histoire racontée."
"***","LO10","S’exprimer avec précision pour se faire comprendre dans les activités scolaires."
"***","LO11","Présenter à la classe un travail individuel ou collectif."
"***",,"Participer à un échange :"
"****","LO12a","Questionner."
"****","LO12b","Apporter des réponses."
"****","LO12c","Écouter et donner un point de vue en respectant les règles de la communication."
"***","LO13","Réciter des textes en prose ou des poèmes (une dizaine), en les interprétant par l’intonation."
"**",,"Lecture (CE1)"
"***","LE12a","Lire silencieusement un texte en déchiffrant les mots inconnus."
"***",,"Manifester sa compréhension :"
"****","LE12b","- dans un résumé,"
"****","LE12c","- dans une reformulation,"
"****","LE12d","- dans des réponses à des questions."
"***","LE13","Lire silencieusement un énoncé, une consigne, et comprendre ce qui est attendu."
"***",,"Participer à une lecture dialoguée :"
"****","LE14a","- articulation correcte,"
"****","LE14b","- fluidité,"
"****","LE14c","- respect de la ponctuation,"
"****","LE14d","- intonation appropriée."
"***","LE15","Ecouter et lire des œuvres intégrales courtes ou de larges extraits d’œuvres plus longues."
"***",,"Identifier :"
"****","LE16a","- les personnages,"
"****","LE16b","- les événements,"
"****","LE16c","- les circonstances temporelles et spatiales d’un récit qu’on a lu."
"***","LE17","Comparer un texte nouvellement entendu ou lu avec un ou des textes connus (thèmes, personnages, événements, fin)."
"***","LE18a","Lire ou écouter lire des œuvres intégrales, notamment de littérature de jeunesse"
"***","LE18b","Rendre compte de sa lecture."
"**",,"Écriture (CE1)"
"***",,"Copier un court texte (par mots entiers ou groupes de mots) en respectant :"
"****","EC07a","- l’orthographe,"
"****","EC07b","- la ponctuation,"
"****","EC07c","- les majuscules,"
"****","EC07d","- en soignant la présentation."
"***","EC08a","En particulier, copier avec soin, en respectant la mise en page, un texte en prose ou poème appris en récitation."
"***","EC08b","Réaliser un dessin pour l’illustrer."
"***",,"Concevoir et écrire de manière autonome :"
"****","EC09a","- une phrase simple cohérente,"
"****","EC09b","- plusieurs phrases,"
"****","EC09c","- un texte narratif ou explicatif de 5 à 10 lignes."
"***","EC10a","Relire sa production et la corriger."
"***","EC10b","Corriger en fonction des indications données un texte copié ou rédigé de manière autonome."
"**",,"Vocabulaire (CE1)"
"***","VO06","Donner des synonymes (par exemple pour reformuler le sens d’un texte ou pour améliorer une expression orale ou écrite)."
"***","VO07","Trouver un mot de sens opposé pour un adjectif qualificatif, un verbe d’action ou pour un nom."
"***","VO08a","Regrouper des mots par familles."
"***","VO08b","Trouver un ou des mots d’une famille donnée."
"***","VO09","Commencer à utiliser l’ordre alphabétique pour vérifier dans un dictionnaire l’écriture d’un mot ou en chercher le sens."
"**",,"FRANÇAIS - Grammaire (CE1)"
"***",,"La phrase"
"****","GR07","Approche des formes et types de phrase : savoir transposer oralement une phrase affirmative en phrase négative ou interrogative."
"***",,"Les classes de mots"
"****",,"Distinguer selon leur nature :"
"*****","GR08a","- les verbes,"
"*****","GR08b","- les noms,"
"*****","GR08c","- les articles,"
"*****","GR08d","- les pronoms personnels (formes sujet),"
"*****","GR08e","- les adjectifs qualificatifs."
"****","GR09","Le nom : distinguer nom propre et nom commun."
"****","GR10","L’article : commencer à repérer les articles élidé (l’) et contracté (du, au, aux)."
"****","GR11","Manipuler d’autres déterminants."
"****","GR12","Approche de l’adverbe : modifier le sens d’un verbe en ajoutant un adverbe."
"***",,"Les fonctions"
"****","GR13","Dans la phrase simple où l’ordre syntaxique régulier sujet-verbe est respecté, identifier le verbe et son sujet (sous la forme d’un nom propre, d’un pronom, ou d’un groupe nominal)."
"****","GR14","Approche de la notion de circonstance : savoir répondre oralement aux questions où ?, quand ?, pourquoi ?, comment ?"
"***",,"Les genres et nombres"
"****","GR15","Connaître et appliquer les notions de masculin/féminin, singulier/pluriel."
"****",,"Connaître et appliquer :"
"*****","GR16a","- la règle de l’accord du verbe avec son sujet."
"*****","GR16b","- dans le groupe nominal, la règle de l’accord entre le déterminant et le nom qu’il détermine,"
"*****","GR16c","- dans le groupe nominal, la règle de l’accord entre l’adjectif qualificatif et le nom qu’il qualifie."
"***",,"Le verbe"
"****","GR17","Comprendre la correspondance entre les temps verbaux (passé, présent, futur) et les notions d’action déjà faite, action en train de se faire, action non encore faite."
"****","GR18a","Identifier le présent, futur, imparfait et passé composé de l’indicatif des verbes étudiés."
"****","GR18b","Trouver leur infinitif."
"****",,"Conjuguer les verbes du 1er premier groupe, être et avoir :"
"*****","GR19a","- au présent,"
"*****","GR19b","- au futur,"
"*****","GR19c","- au passé composé de l’indicatif."
"****","GR20","Conjuguer les verbes faire, aller, dire, venir au présent de l’indicatif."
"**",,"Orthographe (CE1)"
"***",,"Écrire sans erreur, sous la dictée, en utilisant ses connaissances lexicales, orthographiques et grammaticales :"
"****","OR06a","- des phrases, préparés ou non,"
"****","OR06b","- un court texte (5 lignes), préparés ou non."
"***",,"Dans les productions dictées et autonomes :"
"****","OR07a","Respecter les correspondances entre lettres et sons"
"****","OR07b","En particulier, respecter les règles relatives à la valeur des lettres en fonction des voyelles placées à proximité (c/ç, c/qu, g/gu/ge, s/ss)."
"****","OR07c","Orthographier sans erreur les mots invariables les plus fréquemment rencontrés ainsi que les mots-outils appris au CP."
"****","OR07d","Marquer l’accord entre le sujet et le verbe dans les phrases où l’ordre sujet-verbe est respecté."
"****","OR07e","Dans le groupe nominal simple, marquer l’accord de l’adjectif qualificatif avec le nom qu’il qualifie."
"****","OR07f","Orthographier sans erreur les formes conjuguées apprises."
"****","OR07g","Utiliser à bon escient le point, la majuscule, ainsi que la virgule dans le cas de l’énumération."
"*",,"MATHÉMATIQUES"
"**",,"Nombres et calcul (CE1)"
"***","NB11","Connaître (savoir écrire et nommer), les nombres entiers naturels inférieurs à 1000."
"***","NB12a","Repérer et placer ces nombres sur une droite graduée."
"***","NB12b","Les comparer."
"***","NB12c","Les ranger."
"***","NB12d","Les encadrer."
"***","NB13","Écrire ou dire des suites de nombres de 10 en 10, de 100 en 100, etc."
"***","NB14","Connaître les doubles et moitiés de nombres d’usage courant."
"***","NB15","Mémoriser les tables de multiplication par 2, 3, 4 et 5."
"***",,"Connaître et utiliser des procédures de calcul mental pour calculer :"
"****","NB16a","- des sommes,"
"****","NB16b","- des différences,"
"****","NB16c","- des produits."
"***","NB17","Calculer en ligne des suites d’opérations."
"***",,"Connaître et utiliser les techniques opératoires de:"
"****","NB18a","- l’addition"
"****","NB18b","- de la soustraction (sur les nombres inférieurs à 1000)."
"***","NB19","Connaître une technique opératoire de la multiplication et l’utiliser pour effectuer des multiplications par un nombre à un chiffre."
"***","NB20","Diviser par 2 ou 5 des nombres inférieurs à 100 (quotient exact entier)."
"***",,"Résoudre des problèmes relevant de :"
"****","NB21a","- l’addition,"
"****","NB21b","- de la soustraction,"
"****","NB21c","- de la multiplication."
"***","NB22","Approcher la division de deux nombres entiers à partir d’un problème de partage ou de groupements."
"***","NB23","Utiliser les fonctions de base de la calculatrice."
"**",,"Géométrie (CE1)"
"***","GE06","Décrire, reproduire, tracer un carré, un rectangle, un triangle rectangle."
"***","GE07","Utiliser des instruments pour réaliser des tracés : règle, équerre ou gabarit de l’angle droit."
"***",,"Percevoir et reconnaître quelques relations et propriétés géométriques :"
"****","GE08a","- alignement,"
"****","GE08b","- angle droit,"
"****","GE08c","- axe de symétrie,"
"****","GE08d","- égalité de longueurs."
"***","GE09","Repérer des cases, des nœuds d’un quadrillage."
"***","GE10","Connaître et utiliser un vocabulaire géométrique élémentaire approprié."
"***","GE11","Reconnaître, décrire, nommer quelques solides droits : cube, pavé."
"**",,"Grandeurs et mesures (CE1)"
"***","GM06","Utiliser un calendrier pour comparer des durées."
"***",,"Connaître la relation entre :"
"****","GM07a","- heure et minute,"
"****","GM07b","- mètre et centimètre, kilomètre et mètre,"
"****","GM07c","- kilogramme et gramme,"
"****","GM07d","- euro et centimes d’euro."
"***","GM08","Mesurer des segments, des distances."
"***","GM09","Résoudre des problèmes de longueur et de masse."
"**",,"Organisation et gestion des données (CE1)"
"***","OG02","Utiliser un tableau, un graphique."
"***","OG03","Organiser les informations d’un énoncé."
"*",,"ÉDUCATION PHYSIQUE ET SPORTIVE"
"**",,"Réaliser une performance"
"***",,"Activités athlétiques :"
"****","EP01a","- courir vite,"
"****","EP01b","- courir longtemps,"
"****","EP01c","- courir en franchissant des obstacles,"
"****","EP01d","- sauter loin,"
"****","EP01e","- sauter haut,"
"****","EP01f","- lancer loin."
"***","EP02","Natation : se déplacer sur une quinzaine de mètres."
"**",,"Adapter ses déplacements à différents types d’environnement"
"***","EP03","Activités d’escalade : grimper jusqu’à 3m et redescendre (mur équipé)."
"***",,"Activités nautiques :"
"****","EP04a","- s’immerger,"
"****","EP04b","- se déplacer sous l’eau,"
"****","EP04c","- se laisser flotter."
"***","EP05","Activités de roule et glisse : Réaliser un parcours simple en roller ou en vélo."
"***","EP06","Activités d’orientation :  Retrouver quelques balises dans un milieu connu."
"**",,"Coopérer et s’opposer individuellement et collectivement"
"***","EP07","Jeux de lutte : Agir sur son adversaire pour l’immobiliser."
"***","EP08","Jeux de raquettes :Faire quelques échanges."
"***",,"Jeux traditionnels et jeux collectifs avec ou sans ballon :"
"****","EP09a","- Coopérer avec ses partenaires pour affronter collectivement des adversaires,"
"****","EP09b","- Coopérer en respectant les règles"
"****","EP09c","- Coopérer en assurant des rôles différents (attaquant, défenseur, arbitre)"
"**",,"Concevoir et réaliser des actions à visées expressive, artistique, esthétique"
"***","EP10","Danse :Exprimer corporellement des personnages, des images, des sentiments pour communiquer des émotions en réalisant une petite chorégraphie (3 à 5 éléments ), sur des supports sonores divers."
"***","EP11","Activités gymniques : Réaliser un enchaînement de 2 ou 3 actions « acrobatiques » sur des engins variés (barres, plinthes, poutres, gros tapis)."
"*",,"LANGUE VIVANTE"
"**","LV01","Développer des comportements indispensables : curiosité, écoute, attention, mémorisation, confiance en soi dans l’utilisation d’une autre langue."
"**","LV02","Distinguer des réalités mélodiques et accentuelles d’une langue nouvelle."
"**","LV03","Découvrir et acquérir du vocabulaire relatif à la personne et à la vie quotidienne."
"**","LV04","Utiliser progressivement quelques énoncés mémorisés."
